timestamp,event type,value,duration of event,
09:40:54.401,Logging started.,,25.234,
09:41:19.635,Open glossary page:,Anchor-Cell,92.135,
09:42:51.770,Open page:,chapter9,50.734,
09:43:42.504,Created highlight:,evolutionary advantage in storing fat: the energy in the C–C and C–H bonds in fat can be used later when food is scarce. But excess fat has adverse consequences.,0.512,
09:43:43.016,Viewed note card for:,evolutionary advantage in storing fat: the energy in the C–C and C–H bonds in fat can be used later when food is scarce. But excess fat has adverse consequences.,0.031,
09:43:43.047,Viewed suggested questions (blue card) for:,evolutionary advantage in storing fat: the energy in the C–C and C–H bonds in fat can be used later when food is scarce. But excess fat has adverse consequences.,31.663,
09:44:14.710,Closed suggested questions (blue) card.,,0.004,
09:44:14.714,Viewed note card for:,evolutionary advantage in storing fat: the energy in the C–C and C–H bonds in fat can be used later when food is scarce. But excess fat has adverse consequences.,1.217,
09:44:15.931,Viewed suggested questions (blue card) for:,evolutionary advantage in storing fat: the energy in the C–C and C–H bonds in fat can be used later when food is scarce. But excess fat has adverse consequences.,3.211,
09:44:19.142,Asked question (blue SQ card):,What processes produce a fat molecule ?,3.299,
09:44:22.441,Answered question:,What processes produce a fat molecule ?,0.053,
09:44:22.494,Open answer page:,What-processes-produce-a-fat-molecule--,10.485,
09:44:32.979,Open page:,chapter9,48.304,
09:45:21.283,Viewed note card for:,evolutionary advantage in storing fat: the energy in the C–C and C–H bonds in fat can be used later when food is scarce. But excess fat has adverse consequences.,1.005,
09:45:22.288,Closed note card.,,21.54,
09:45:43.828,Created highlight:,Brown adipose tissue has high concentrations of mitochondria which have iron-containing pigments.,0.044,
09:45:43.872,Viewed note card for:,Brown adipose tissue has high concentrations of mitochondria which have iron-containing pigments.,0.003,
09:45:43.875,Viewed suggested questions (blue card) for:,Brown adipose tissue has high concentrations of mitochondria which have iron-containing pigments.,12.889,
09:45:56.764,Asked question (blue SQ card):,In a mitochondrion what do carrier proteins enter?,3.412,
09:46:00.176,Answered question:,In a mitochondrion what do carrier proteins enter?,0.052,
09:46:00.228,Open answer page:,In-a-mitochondrion-what-do-carrier-proteins-enter-,12.097,
09:46:12.325,Open page:,chapter9,65.966,
09:47:18.291,Created highlight:,Human infants are born with a great deal of brown fat in their back and shoulders,0.04,
09:47:18.331,Viewed note card for:,Human infants are born with a great deal of brown fat in their back and shoulders,0.003,
09:47:18.334,Viewed suggested questions (blue card) for:,Human infants are born with a great deal of brown fat in their back and shoulders,3.877,
09:47:22.211,Closed suggested questions (blue) card.,,16.619,
09:47:38.830,Created highlight:,One way they keep warm is to produce heat in their brown fat tissue,0.039,
09:47:38.869,Viewed note card for:,One way they keep warm is to produce heat in their brown fat tissue,0.004,
09:47:38.873,Viewed suggested questions (blue card) for:,One way they keep warm is to produce heat in their brown fat tissue,2.025,
09:47:40.898,Closed suggested questions (blue) card.,,47.47,
09:48:28.368,Open glossary page:,Anchor-Cell,3.256,
09:48:31.624,Open page:,index,4.403,
09:48:36.027,Open page:,chapter9-1,353.349,
09:54:29.376,App stopped.,,272.801,
09:59:02.177,Logging started.,,6.043,
09:59:08.220,Open page:,index,170.152,
10:01:58.372,Open page:,chapter9-1,6.172,
10:02:04.544,Open page:,chapter9-2,21.5,
10:02:26.044,Open page:,chapter9-2,11.687,
10:02:37.731,Viewed glossary popup:,Oxidation,26.877,
10:03:04.608,Viewed glossary popup:,Electron-Carrier,0.583,
10:03:05.191,Viewed glossary popup:,NAD-Plus,2.276,
10:03:07.467,Viewed glossary popup:,Glucose,0.982,
10:03:08.449,Open image/cmap:,figure9-5,1.858,
10:03:10.307,Closed image/cmap.,,27.871,
10:03:38.178,Created highlight:,Pyruvate is then converted to CO2 in a second series of reactions beginning with pyruvate oxidation and followed by the citric acid cycle.,0.188,
10:03:38.366,Viewed note card for:,Pyruvate is then converted to CO2 in a second series of reactions beginning with pyruvate oxidation and followed by the citric acid cycle.,0.013,
10:03:38.379,Viewed suggested questions (blue card) for:,Pyruvate is then converted to CO2 in a second series of reactions beginning with pyruvate oxidation and followed by the citric acid cycle.,39.252,
10:04:17.631,Closed suggested questions (blue) card.,,0.001,
10:04:17.632,Viewed note card for:,Pyruvate is then converted to CO2 in a second series of reactions beginning with pyruvate oxidation and followed by the citric acid cycle.,3.334,
10:04:20.966,Started editing note card for:,Pyruvate is then converted to CO2 in a second series of reactions beginning with pyruvate oxidation and followed by the citric acid cycle.,5.895,
10:04:26.861,Edited note card:,Hej hopp,0.009,
10:04:26.870,Viewed suggested questions (blue card) for:,Pyruvate is then converted to CO2 in a second series of reactions beginning with pyruvate oxidation and followed by the citric acid cycle.,0.606,
10:04:27.476,Closed suggested questions (blue) card.,,0.0,
10:04:27.476,Viewed note card for:,Pyruvate is then converted to CO2 in a second series of reactions beginning with pyruvate oxidation and followed by the citric acid cycle.,1.254,
10:04:28.730,Closed note card.,,0.009,
10:04:28.739,Deleted highlight:,Pyruvate is then converted to CO2 in a second series of reactions beginning with pyruvate oxidation and followed by the citric acid cycle.,10.759,
10:04:39.498,App stopped.,,13.979,
10:04:53.477,Logging started.,,10.373,
10:05:03.850,Open image/cmap:,figure9-5,5.744,
10:05:09.594,Closed image/cmap.,,7.915,
10:05:17.509,Open image/cmap:,figure9-5,2.868,
10:05:20.377,Closed image/cmap.,,2.715,
10:05:23.092,Open image/cmap:,unfig9_18,4.154,
10:05:27.246,Closed image/cmap.,,8.241,
10:05:35.487,Open image/cmap:,Figure9-5,3.124,
10:05:38.611,Closed image/cmap.,,26.918,
10:06:05.529,Open page:,chapter9-1,3.123,
10:06:08.652,Open page:,chapter9-2,55.945,
10:07:04.597,Open page:,chapter9-3,30.334,
10:07:34.931,App stopped.,,102.369,
10:09:17.300,Logging started.,,44.456,
